Discourses,Discourses
and,and
so,so
a,a
lesser,lesser
end,end
made,made
to,to
exclude,exclude
a,a
greater,greater
The,The
Rich,Rich
Man's,Man's
fine,fine
Linnen,linen
is,is
not,not
so,so
useful,useful
for,for
warmth,warmth
and,and
yet,yet
Pride,Pride
will,will
hardly,hardly
consult,consult
that,that
in,in
the,the
coldest,coldest
season,season
but,but
Life,Life
must,must
rather,rather
be,be
hazarded,hazarded
than,than
Fancy,Fancy
be,be
denied,denied
When,When
every,every
Fashionable,Fashionable
Punctilio,Punctilio
is,is
judg'd,judged
a,a
necessary,necessary
ornament,ornament
It,It
was,was
a,a
singular,singular
advantage,advantage
to,to
the,the
Israelites,Israelites
in,in
the,the
Wilderness,Wilderness
that,that
their,their
raiment,raiment
waxed,waxed
not,not
old,old
upon,upon
them,them
for,for
forty,forty
years,years
But,But
how,how
uneasie,uneasy
would,would
it,it
have,have
been,been
to,to
many,many
unless,unless
it,it
had,had
undergone,undergone
above,above
twice,twice
that,that
number,number
of,of
alterations,alterations
in,in
such,such
a,a
compass,compass
that,that
even,even
the,the
making,making
of,of
it,it
so,so
often,often
new,new
might,might
have,have
been,been
enough,enough
to,to
wear,wear
it,it
out,out
When,When
too,too
great,great
a,a
part,part
of,of
our,our
time,time
and,and
care,care
is,is
taken,taken
up,up
about,about
such,such
trifling,trifling
matters,matters
The,The
Proud,Proud
are,are
much,much
more,more
accurate,accurate
is,is
their,their
Dress,Dress
than,than
in,in
their,their
Devotion,Devotion
very,very
exact,exact
as,as
to,to
their,their
Habit,Habit
very,very
loose,loose
in,in
the,the
business,business
of,of
Religion,Religion
That,That
which,which
requires,requires
most,most
thoughts,thoughts
and,and
pains,pains
is,is
put,put
off,off
with,with
fewest,fewest
and,and
that,that
which,which
deserves,deserves
the,the
fewest,fewest
hath,hath
the,the
most,most
This,This
fault,fault
is,is
never,never
committed,committed
where,where
Pride,Pride
is,is
not,not
in,in
power,power
for,for
't,'t
is,is
that,that
which,which
makes,makes
men,men
extreamly,extremely
solicitous,solicitous
where,where
they,they
should,should
be,be
indifferent,indifferent
Wherein,Wherein
this,this
Luxury,Luxury
consists,consists
Tho,Tho
it,it
do,do
not,not
consist,consist
in,in
the,the
keeping,keeping
of,of
a,a
full,full
Table,Table
yet,yet
it,it
does,does
in,in
the,the
loading,loading
of,of
it,it
with,with
constant,constant
superfluities,superfluities
The,The
Plundering,Plundering
of,of
Three,Three
Elements,Elements
at,at
once,once
Earth,Earth
Air,Air
and,and
Water,Water
is,is
all,all
little,little
enough,enough
to,to
supply,supply
an,an
Epicure's,Epicure's
ordinary,ordinary
Meal,Meal
and,and
yet,yet
he,he
must,must
be,be
a,a
very,very
large,large
Interpreter,Interpreter
who,who
should,should
reckon,reckon
all,all
this,this
to,to
be,be
included,included
in,in
that,that
Petition,Petition
which,which
Christ,Christ
hath,hath
taught,taught
us,us
for,for
daily,daily
bread,bread
Now,Now
it,it
seems,seems
very,very
questionable,questionable
whether,whether
we,we
may,may
allow,allow
our selves,ourselves
to,to
make,make
a,a
Trade,Trade
of,of
consuming,consuming
and,and
devouring,devouring
what,what
we,we
are,are
not,not
